"Time","Used","Buffer","Cached","Free"
2023-04-18 15:44:25,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:44:30,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:44:35,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:44:40,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:44:45,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:44:50,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:44:55,341 MiB,27.8 MiB,511 MiB,89.8 MiB
2023-04-18 15:45:00,341 MiB,27.8 MiB,511 MiB,89.8 MiB
2023-04-18 15:45:05,341 MiB,27.8 MiB,511 MiB,89.8 MiB
2023-04-18 15:45:10,340 MiB,27.8 MiB,511 MiB,91.0 MiB
2023-04-18 15:45:15,340 MiB,27.8 MiB,511 MiB,91.0 MiB
2023-04-18 15:45:20,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:45:25,340 MiB,27.8 MiB,511 MiB,91.1 MiB
2023-04-18 15:45:30,341 MiB,27.8 MiB,511 MiB,89.8 MiB
2023-04-18 15:45:35,341 MiB,27.8 MiB,511 MiB,89.8 MiB
2023-04-18 15:45:40,341 MiB,27.8 MiB,511 MiB,89.8 MiB
2023-04-18 15:45:45,346 MiB,27.8 MiB,511 MiB,85.3 MiB
2023-04-18 15:45:50,346 MiB,27.8 MiB,511 MiB,85.3 MiB
2023-04-18 15:45:55,346 MiB,27.8 MiB,511 MiB,85.3 MiB
2023-04-18 15:46:00,339 MiB,27.8 MiB,511 MiB,91.8 MiB
2023-04-18 15:46:05,340 MiB,27.8 MiB,511 MiB,90.7 MiB
2023-04-18 15:46:10,331 MiB,27.8 MiB,511 MiB,99.6 MiB
2023-04-18 15:46:15,331 MiB,27.8 MiB,511 MiB,99.6 MiB
2023-04-18 15:46:20,331 MiB,27.8 MiB,511 MiB,99.6 MiB
2023-04-18 15:46:25,331 MiB,27.8 MiB,511 MiB,99.6 MiB
2023-04-18 15:46:30,331 MiB,27.8 MiB,511 MiB,99.6 MiB
2023-04-18 15:46:35,331 MiB,27.8 MiB,511 MiB,99.8 MiB
2023-04-18 15:46:40,331 MiB,27.8 MiB,511 MiB,99.5 MiB
2023-04-18 15:46:45,335 MiB,27.8 MiB,511 MiB,95.5 MiB
2023-04-18 15:46:50,335 MiB,27.8 MiB,511 MiB,95.5 MiB
2023-04-18 15:46:55,335 MiB,27.8 MiB,511 MiB,95.5 MiB
2023-04-18 15:47:00,331 MiB,27.8 MiB,511 MiB,99.9 MiB
2023-04-18 15:47:05,331 MiB,27.8 MiB,511 MiB,99.7 MiB
2023-04-18 15:47:10,331 MiB,27.8 MiB,511 MiB,99.7 MiB
2023-04-18 15:47:15,331 MiB,27.8 MiB,511 MiB,99.9 MiB
2023-04-18 15:47:20,331 MiB,27.8 MiB,511 MiB,99.7 MiB
2023-04-18 15:47:25,335 MiB,27.8 MiB,511 MiB,95.9 MiB
2023-04-18 15:47:30,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:47:35,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:47:40,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:47:45,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:47:50,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:47:55,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:48:00,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:48:05,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:48:10,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:48:15,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:48:20,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:48:25,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:48:30,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:48:35,335 MiB,27.8 MiB,511 MiB,95.7 MiB
